country,Date,Until,Headline,Description,Sources,MostPeaceful2023GPI
IQ,2017.0,,Islamic State militants burn water purification plant in Iraq,Militants from the Islamic State burn a water purification plant in a town north of the city of Mosul.,Raleigh et al 2010 ID. 350600,3.006
IQ,2017.0,,"A bomb planted at water, oil, and gas pipelines explodes","One of four bombs planted near water, gas, and oil pipelines explodes, injuring a policeman in Dibis, Kirkuk, Iraq.",Raleigh et al 2010 ID. 351470,3.006
IQ,2017.0,,Conflict over water quotas lead to two deaths in Iraq,"Conflict arises between two tribes over water quotas, leaing to two deaths and eight injuries in Suq Al-Shoyokh, Thi-Qar, Iraq.",Raleigh et al 2010 ID. 353965,3.006
IQ,2017.0,,Islamic State is accused of cutting off water to a village by diverting a river,"A group identified as the Islamic State is accused of cutting off the water flow to a village by diverting a river in Abu Karmah, Muqdadiyah, Diyala, Iraq.",Raleigh et al 2010 ID. 354937,3.006
IQ,2016.0,,"Islamic State fighters destroy pipeline that provides water for eastern Mosul, Iraq","Islamic State fighters cut electricity to pumping stations and destroy a pipeline that provides water for eastern Mosul, Iraq, leaving more than half a million people without water. The group has intentionally cut off water supplies to various neighborhoods, according to a Mosul City Council official responsible for supervising the city's water and energy services.","Tawfeeq and Abdelaziz 2016, Laessing 2016",3.006
IQ,2015.0,,Islamic State shuts off water flow below Ramadi Dam,"In June 2015, Islamic State in Iraq and the Levant (ISIL) militants shut off and redirect water flows below Ramadi Dam in order to facilitate military movements across the Euphrates River. As a result, communities downstream face water shortages.",Alkhshali and Smith-Spark 2015,3.006
IQ,2015.0,,Islamic State attacks Mosul Dam on the Tigris,"An attack by Islamic State (IS) fighters on the Mosul Dam on the Tigris river leads to the death of 16 Kurdish Peshmerga soldiers. The dam provides electricity to part of the Anbar province, which was under IS's control at the time. In August 2014, the dam is seized by Kurdish and Iraqi government forces from IS, who had taken control of it weeks earlier. The 1,200 families who are said to have been operating the dam mostly fled when IS seized power in fear that the dam would be used to flood downstream communities.",Al Jazeera 2015,3.006
IQ,2015.0,,Islamic State attacks Iraqi security forces around Euphrates River dam,"The Islamic State attacks Iraqi security forces and affiliated militiamen stationed around Adhaim dam on the Al Uzym River, north of Baghdad. Accounts differ as to the total number of deaths, however both sides suffer losses of life and numerous fighters are injured.",IANS 2015,3.006
IQ,2015.0,,Islamic State cuts off irrigation water,"Following the capture of Ramadi Dam, the Islamic State cuts water for irrigation systems and treatment plants in the predominantly Shiite downstream provinces of Babil, Karbala, Najaf and Qadisiya, threatening Iraqi food production.",UN Security Council 2017,3.006
IQ,2015.0,,Islamic State captures Tharthar Dam on the Tigris River,"The Islamic State attacks and successfully captures Tharthar Dam near Fallujah, on the Tigris River in Anbar province, Iraq. The attack leaves 127 Iraqi soldiers dead. After capturing the dam, the fighters open at least one floodgate, affecting downstream communities.",Sabah and Alwan 2015,3.006
IQ,2015.0,,Attack of a dam blocked in Iraq,In early January 2015 military troops in Iraq block an attack by IS militants that is attempting to destroy a dam and block a road connecting Diyala and the Shiite holy city of Sammara.,Xhinua_2015,3.006
IQ,2014.0,,Insurgents seize Falluja Dam,"Insurgents from Islamic State in Iraq and the Levant (ISIL) seize the Fallujah Dam in Iraq and close the floodgates to cause upstream flooding and to cut downstream water supply. The objective is to flood the area around the city of Fallujah to force government troops to retreat and lift a siege, while cutting water supplies and hydroelectricity generation for other parts of the country.",Coles 2014,3.006
IQ,1990.0,,Turkey's Ataturk Dam a weapon of war?,"The flow of the Euphrates is interrupted for a month as Turkey finishes construction of the Atat?rk Dam, part of the Grand Anatolia Project. Syria and Iraq protest that Turkey now has a weapon of war. In mid-1990 Turkish president Turgut ?zal  threatens to restrict water flow to Syria to force it to withdraw support for Kurdish rebels operating in southern Turkey.",Gleick 1993,3.006
IQ,2014.0,,Islamic State fighters advance on Haditha Dam,"Iraqi officials report that fighters with the Islamic State in Iraq and the Levant (ISIL) are advancing on the Haditha Dam, the second-largest in Iraq, raising the possibility of catastrophic damage and flooding. The ISIL militants are fighting for control of the Euphrates River dam, about 120 miles northwest of Baghdad and government forces were fighting to halt their advance. Army officers tell employees to stay inside and to be prepared to open the dam's floodgates if ordered to do so, one employee said.",Rubin and Nordland 2014,3.006
IQ,2014.0,,"Islamic State contaminates drinking water supplies, Syria","Islamic State deliberately contaminates drinking water with crude oil in the Balad district of the Salahaddin Governorate. Poisoned water supplies are also reported from Aleppo, Deir ez Zor, Raqqa, and  Baghdad.",UN Security Council 2017,3.006
IQ,2014.0,,Islamic State forces take control of Mosul Dam,"Mosul Dam in Iraq is taken over by Islamic State in Iraq and the Levant (ISIL) forces in August 2014. Over the next several weeks, Kurdish and US forces attack ISIS/ISIL in the region and retake control of the dam.",Maler 2014,3.006
IQ,2014.0,,U.S.-led coalition launches airstrikes to protect dams from ISIS,"A U.S.-led coalition launches a series of air strikes against targets of the Islamic State in Iraq and the Levant (ISIL) in areas around Mosul Dam, Fallujah Dam, and Haditha Dam in Iraq. U.S. aircraft destroy an ISIL-built earthen berm near the Fallujah Dam. This berm was built by ISIL to control downstream water supplies and to increase the flow of the Euphrates River into Abu Ghraib canals, flooding local Shiite neighborhoods in east Fallujah and forcing the locals to evacuate.",British Broadcasting Corporation (BBC) 2014b,3.006
IQ,2014.0,,Attack on water construction project in Iraq,"Shots are fired at a checkpoint for an Iranian company working on a water project south of Kirkuk, Iraq.",Aswat al-Iraq 2014a,3.006
IQ,2014.0,,Bombing injures two at water project in Iraq,Two people are injured when a bomb explodes near the center of the city Tuz Khurmatu at the town's water project.,Aswat al-Iraq 2014b,3.006
IQ,2014.0,,Islamic State uses Falluja Dam as a weapon,"Islamic State closes the Fallujah Dam floodgates and diverts water over an irrigation channel into a side valley, inundating land up to 100km away and placing parts of the city of Abu Ghraib under up to four meters of water. More than 10,000 houses and 200 square kilometers of farmland are flooded and extensive livestock killed. Water for millions of people in the cities of Karbala, Najaf, and Babil is cut off for a time.",UN Security Council 2017,3.006
IQ,2014.0,,Multiple water projects are attacked in Iraq,"In less than a week, several water projects are the targets of explosives, killing six employees of one of the water projects and damaging the infrastructure in Al-Shirqat District, Saladin Governorate, and Mushirfah, Nineveh Governorate, Iraq.","National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201404090018, 201404130034",3.006
IQ,2014.0,,Islamic State blocks access to water,"In Iraq, Islamic State blocks access to water in the predominantly Christian town of Qaraqosh (also known as Bakhdida), take over farms and agricultural land, and expel most of the 50,000 residents.",UN Security Council 2017,3.006
IQ,2014.0,,Water purification plant in Fallujah attacked,"At least two people die from a blast at a water purification plant in the city of Fallujah, in Al Anbar Province. More than 20 people are hospitalized from chlorine poisoning from the destruction of a water-purification chemical storage facility.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201406130089,3.006
IQ,2014.0,,Haditha Dam on the Euphrates River is attacked,Reports from a military spokesperson from Iraq say secuirty forces fought off militant groups trying to sieze Haditha and a nearby dam on the Euphrates River. 40 militants are killed by the security forces.,Derechos Human Rights and Equipo Nizkor 2014,3.006
IQ,2014.0,,"At least 30 people reported killed in attack on Hadithah Dam, Iraq",At least 30 people are reported killed during an attack on a dam in the Hadithah area of Iraq. No group claims responsibility for the attack but it is thought to have been carried out by Islamic State.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201412290031,3.006
IQ,2013.0,,Water project employees kidnapped in Iraq,Four water project employees are kidnapped by assailants dressed as police officers. The outcome of the kidnapping is unknown and no group has claimed responsibility for the incident.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201311190066,3.006
IQ,2012.0,,"Assailants fire a mortar round, striking a water facility","Assailants fire a mortar round, striking a water facility in Mosul city, Nineveh governorate, Iraq. One security guard is killed in the attack, and the facility is damaged. This is one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claims responsibility for the attacks, stating that they are in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201202230016,3.006
IQ,2010.0,,Unidentified militants detonate an improvised explosive device targeting a water tanker,"On Thursday, in the town of al-Qaim in Iraq's Anbar province, a driver and two civilians are wounded and a water tanker truck is damaged when unidentified militants detonate an improvised explosive device targeting a water tanker. No group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201005060012,3.006
IQ,2010.0,,An improvised explosive device detonates at a potable water plant,"In the Abu Ghurayb neighborhood of Baghdad city, Baghdad province Iraq, two government employees are killed and another is wounded when an improvised explosive device detonates at a potable water plant. The amount of damage from the attack is unknown. No group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201012020006,3.006
IQ,2009.0,,An improvised explosive device attached to a water tanker explodes,"An improvised explosive device attached to a water tanker in the al-Mahawii district of the Babel province explodes, wounding the driver. The blast causes severe damage to the tanker. No one claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200912110015,3.006
IQ,2008.0,,Iraqi water station destroyed,"A water station under construction is destroyed in an attack by an unidentified gunman. Explosives are also placed on the road near the project, injuring one person. The station was going to provide potable water to four villages that were at a distance from the Tigris River, east of Dalouiya.",Berwani 2008,3.006
IQ,2008.0,,Militants blow up a section of a water pipeline,"Militants blow up a section of a water pipeline in Baghdad, Iraq. The explosion tears an 18-inch hole in the pipe that carries drinking water to Baghdad's Adhamiyah, Rusafa, and Karrada districts. No casualties are reported and no group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200810300021,3.006
IQ,2007.0,,Workers fixing a water pipe killed,"Two workers fixing a water pipe in Baghdad, Iraq, are killed in an event that is reported as either a drive-by shooting or a bomb explosion. The pipeline was being fixed from an attack a month earlier.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2007.0,,Mortar fired at water treatment plant,"A mortar is fired at a water treatment plant in Baghdad, Iraq. No casualties are reported.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2007.0,,Director-general of water projects killed by gunmen,"The director-general of water projects in Badush, Iraq is shot and killed by gunmen.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2007.0,,Workers constructing water pipe attacked; two killed,"A bomb placed along a road kills two workers and wounds five others as they lay water pipes in Tal Afar, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2007.0,,Bloody fight at a water filtering station leaves at least 33 dead,"An attack on a water-filtering station in the Al-Khalis District of Diyala Governorate in Iraq is thwarted by the Iraqi military and other forces, leaving at least 33 of the attackers dead. The number of deaths on the Iraqi side is not reported.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2007.0,,Tigris River polluted after bomb strikes oil pipeline,"The Tigris River is polluted with oil after a bomb strikes a pipeline near Baiji, Iraq. The river supplies drinking water for nearby communities.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,Unsuccessful targeting of water pipeline,"A water pipeline in Baghdad is targeted by an explosive device placed nearby. However, the explosion does not damage the pipeline.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,Employee of Iraq's Ministry of Water Resources killed,An employee of the Ministry of Water Resources in Iraq is killed by a gunman.,RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,"Explosive device aimed for water supply detonates early, killing two, wounding one","An explosive device targeting a water main in Kirkuk, Iraq, detonates prematurely, killing two and injuring one of the attackers.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,Two water truck drivers killed,"The drivers of a water truck are killed in Baghdad, Iraq by a gunman while driving for work.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,Director of water project killed,"The director of the Baqubah water project, Husayn Ali Atiyah, is killed by gunmen. The attack is considered part of a larger effort to undermine the Iraqi reconstruction process.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,Government official killed,"A government official working with the water authority in Kirkuk, Iraq is killed.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2006.0,,Gunmen blow up the pipes of a drinking water treatment plant running to the U.S. Ayn al-Asad base,"Gunmen blow up the pipes of a drinking water treatment plant running to the U.S. Ayn al-Asad base. Clashes rage between the gunmen and members of the plant's security, and are followed by explosions that lead to the destruction of the plant's water pumps and power generators. No group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200604100025,3.006
IQ,2005.0,,Water pipeline attacked with bomb,"A bomb placed near a water pipeline explodes, causing it to break. That same day, two nearby oil pipelines are also attacked.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,Car bomb near water services director kills one,"A car bomb placed near the Kirkuk city water services director detonates, killing one person and injuring at least 17 others in Kirkuk, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,Bomb placed at a water station explodes prematurely and kills both attackers,"A bomb at a water station explodes prematurely, killing the two men placing the bomb.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,Water pipeline targeted in attack in Baghdad,"A water pipeline is damaged by a targeted explosion, disrupting water services to approximately two million people in Baghdad, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,"Power station damaged, taking down some of Baghdad's water distribution system","A power station in Tarmiyah, Iraq is damaged by a fire, disabling a portion of Baghdad's water distribution system.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,Three Iraqis killed while driving water to an army base,"A group of three Iraqi men are shot and killed while transporting water to a military base near Taji, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,Six employees of a water utility found murdered inside the water treatment plant,Six employees of a water utility in Baghdad are found murdered inside a water treatment plant. The actual date of their deaths is not known.,RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,"Gunman take out electric lines, disrupting water service in Baghdad","Electric lines that provide power for water supply services in Baghdad, Iraq are shot down by a gunman, causing a disruption to water services. These same power lines had been recently fixed after suffering from a similar attack in the months prior.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2005.0,,A mortar round hits a water facility,"A mortar round hits a water facility in Baghdad, Iraq, resulting in a disruption of water supply to residents serviced by the facility. No one claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200507010006,3.006
IQ,2005.0,,Gunmen attack civilians working on a water project,"Gunmen attack civilians working on a water project in Al-Faris, Iraq, killing 18 and wounding 22. No group claims responsibility for the shooting.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 200507260001,3.006
IQ,2004.0,,Missionaries working on a water project attacked,"Four Christian missionaries from the U.S. are killed and one other seriously wounded when they are attacked while working on a water project in Mosul, Iraq.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2004.0,,Driver killed while transporting water,"A driver of a truck transporting mineral water in Mosul, Iraq is killed when his truck is set on fire.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2004.0,,Four people employed by the water and sewage department kidnapped,"Three engineers and one contractor, employed by the city water and sewage board, are kidnapped in Kirkuk, Iraq. No reports could be found detailing the outcome of the kidnapping.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,2003.0,,Water systems damaged in US-Iraq war,"During the US-led invasion of Iraq, water systems are reportedly damaged or destroyed by different parties, and major dams are military objectives of the US forces. Damage directly attributable to the war includes vast segments of the water distribution system and the Baghdad water system, damaged by a missile.",UNICEF 2003,3.006
IQ,2003.0,,Insurgents bomb Iraq pipeline,"Insurgents bomb a main water pipeline in Baghdad. City engineers say this is the first strike against Baghdad's water system during the Iraq War, which began in March 2003. The bombing occurs around seven in the morning, when a blue Volkswagen Passat stops on an overpass near the Nidaa mosque and an explosive is fired at the six-foot-wide water main in the northern part of Baghdad, said Hayder Muhammad, the chief engineer for the city's water treatment plants.",Tierney and Worth 2003,3.006
IQ,2003.0,,Iraqi water treatment plant damaged,"The Abu Nawas pumping station on the Tigris River, which supplies water to Sadr City and other treatment plants in Baghdad, is severely damaged during the 2003 conflict.",International Committee of the Red Cross (ICRC) 2009,3.006
IQ,2003.0,,"Bomb explosion breaks water main, forcing water supply shutoff to Baghdad","A bomb placed near a water main line explodes, breaking the pipe and forcing engineers to shut off the water supply to the entire city of Baghdad, Iraq. Major flooding in the surrounding neighborhood is caused as well.",RAND Database of Worldwide Terrorism Incidents 2018,3.006
IQ,1991.0,,UN considers cutting river flow to Iraq,Discussions are held at the United Nations about using the Atat?rk Dam in Turkey to cut off flows of the Euphrates to Iraq.,Gleick 1993,3.006
IQ,1991.0,,US destroys Iraq water systems,"During the Persian Gulf War, Allied Coalition forces damage Baghdad's modern water supply and sanitation system""intentionally and unintentionally. ""Four of seven major pumping stations were destroyed, as were 31 municipal water and sewerage facilities in Baghdad""resulting in sewage pouring into the Tigris. Water purification plants were incapacitated throughout Iraq"" (Arbuthnot 2000). Following the damage, the New England Journal of Medicine reports that, during the first eight months of 1991, childhood death in Iraq increases by 47,000 and the country's infant mortality rate doubles to 92.7 per 1,000 live births.",Gleick 1993,3.006
IQ,1991.0,,"During Persian Gulf War, allied forces attack and destroy urban water and sanitation facilities in Basra, Iraq","During the Persian Gulf War, Allied forces target water and sanitation facilities in Iraq's second-largest city, Basra. The damage is unrepairable.",Vulliamy 1991,3.006
PK,2013.0,2014.0,Fight over control of water in Pakistan,"In Karachi, rival sects of the Taliban fight for the control of water by controlling infrastructure and land.",Hamid 2012a,2.745
PK,2019.0,,Pakistan claims India's unexpected release of water from a dam is an act of war,"India releases water from a dam on the River Sutlej, causing moderate flooding downstream in Pakistan. India claims that the release is a ""routine exercise"" during monsoon season. The release and resultant flooding are seen as an act of war by Pakistan. This incident adds to the already strained relations between the two countries which have been at odds since February 2019 when 40 Indian parliamentary police were killed by a suicide bomb in Kashmir.",Reuters 2019,2.745
PK,2016.0,,Water pipeline is damaged in Pakistan,"A water pipeline is damaged from explosions when it is misidentified as a gas pipeline, disrupting the water supply to a nearby village.",Nation 2016,2.745
PK,2015.0,,Water pipeline damaged in Pakistan,"A water pipeline is damaged in a blast from an explosive reportedly placed by the Baloch Repbulican Army in Nokani, Balochistan province, Pakistan. No injuries are reported.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201502220004,2.745
PK,2014.0,,Water well attacked in Pakistan,Two schools and a solar-powered tube well are destroyed in a blast attributed to militants in the Mohmand Agency. No injuries are reported.,"Newspaper Correspondent, The 2014",2.745
PK,2012.0,,An explosive device detonates and damages a tube well and a mosque,"An explosive device detonates and damages a tube well and a mosque in Lakki Marwat city, Khyber Pakhtunkhwa province, Pakistan. There are no casualties reported, and no group claims responsibility for this incident. A school is also damaged in an explosion in the same location on this day.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201203150002,2.745
PK,2012.0,,An explosive device detonates prematurely as the assailant is planting it  targeting a fresh water well,"An explosive device detonates prematurely as the assailant is planting it in Wocha Khwara village, Federally Administered Tribal Areas, Pakistan. The device is targeting a fresh water well; the assailant is killed in the blast. No group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201205040033,2.745
PK,2012.0,,An explosive device detonates at a irrigation tube well,"An explosive device detonates at a irrigation tube well in Khairo Khel area, Lakki Marwat district, Khyber Pakhtunkhwa province, Pakistan. A power transformer line and the tube well are damaged in the blast; however, there are no reported injuries. No group claims responsibility for the incident.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201206100013,2.745
PK,2012.0,,Two explosive devices placed in a well are discovered and defused,"Two explosive devices placed in a well are discovered and defused in Nar Raza Khan village, Khyber Pakhtunkhwa province, Pakistan. No group claims responsibility for the incident.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201208130026,2.745
PK,2012.0,,Assailants bomb a government water tank,"Assailants bomb a government water tank in the Aka Khel area of Bara tehsil, Federally Administered Tribal Areas, Pakistan. There are no reported casualties; however, the water tank is destroyed in the blast. No group claims responsibility for the incident; however, police arrest one individual in connection with the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201212060017,2.745
PK,2011.0,,Unidentified militants blow up a tube-well,"On Friday, in Doog village in South Waziristan, Federally Administered Tribal Areas, Pakistan, unidentified militants blow up a tube-well, resulting in no casualties and causing an unknown amount of property damage. No group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201104010003,2.745
