country,gdp,inflation,tax_revenue_pct_gdp,unemployment_pct,electricity_access_pct,suicide_rate,birth_rate,death_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,democracy_score,democracy_type,median_age,title
Burundi,3073410000,18.8009,13.5974,1.02,10.2338,6.2,34.842,7.474,5.80492,62,-14415,6488650,6400926,12889576,2.33,Authoritarian,11.9,President
Cabo Verde,2314820000,1.86215,17.8036,13.57,95.5214,12.9,16.951,6.028,69.7623,74,-1274,298239,294911,593149,7.88,Flawed democracy,22.9,
Cambodia,29956800000,5.3437,16.3649,0.361,82.5017,4.9,19.334,6.838,60.1524,70,-24262,8468316,8299527,16767842,3.59,Authoritarian,22.7,Prime Minister
Cameroon,44341600000,6.24768,10.8706,4.001,65.4467,9,34.938,8.582,45.6022,60,-9889,13992014,13922522,27914536,3.28,Authoritarian,13.6,President
Canada,2.14E+12,6.8028,13.2594,5.209,100,11.8,9.6,7.8,92.834,83,195181,19583244,19346659,38929902,9.15,Full democracy,36.4,Prime Minister
Central African Republic,2382620000,5.58317,8.20629,6.363,15.6803,12.3,42.68,11.393,10.5826,54,-85860,2790791,2788352,5579144,1.52,Authoritarian,10.8,President
Chad,12704100000,5.78803,,1.412,11.2686,6.4,43.357,12.504,17.8689,53,9016,8827313,8896002,17723315,1.61,Authoritarian,11.2,President
Chile,3.01E+11,11.6439,19.5982,7.784,100,9,11.788,7.426,90.1934,79,113709,9874202,9729531,19603733,7.97,Flawed democracy,31.3,President
China,1.80E+13,1.97358,8.09063,4.886,100,8.1,7.52,7.18,73.05,78,-200194,691528501,720646499,1412175000,3.32,Authoritarian,34.5,General Secretary of the Communist Party
Colombia,3.44E+11,10.1772,14.4434,10.726,99.9991,3.9,14.204,7.735,73.0284,73,211978,26298417,25575607,51874024,6.96,Flawed democracy,27.2,President
Comoros,1242520000,-4.29487,,8.811,87.9426,5.4,29.398,8.718,27.3369,63,-1772,416416,420357,836774,3.71,Authoritarian,16.3,President
Congo,14615500000,3.04344,9.10708,21.795,49.6572,6.5,30.691,7.063,8.65,64,-4466,2988624,2981800,5970424,3.31,Authoritarian,14.3,President
Costa Rica,68380800000,8.27477,14.0738,11.453,100,8.1,11.873,7.192,82.75,77,2084,2590119,2590709,5180829,8.07,Full democracy,29.3,President
Côte d'Ivoire,70018700000,5.27617,12.5591,2.637,71.1368,8.9,33.934,9.001,45.4255,59,-21000,13944972,14215570,28160542,4.15,Hybrid regime,13.8,President
Croatia,70964600000,10.7806,152.18,6.746,100,16.4,9.4,16.2,81.254,76,-10402,1976858,1877142,3854000,6.57,Flawed democracy,40,Prime Minister
Cuba,1.07E+11,,,1.386,100,14.5,8.922,14.652,71.1191,74,-7068,5649497,5562694,11212191,3,Authoritarian,37.2,First Secretary of the Communist Party
Cyprus,28439100000,8.39548,24.1123,6.976,100,3.6,10.313,7.257,90.7595,81,1995,624713,626775,1251488,7.59,Flawed democracy,34.1,President
Czech Republic,2.91E+11,15.1002,13.361,2.37,100,12.2,10.6,13.3,82.6706,77,3621,5340795,5185278,10526073,7.69,Flawed democracy,38.8,Prime Minister
Dem. People's Rep. Korea,,,,2.962,52.6306,9.4,13.24,9.313,0,73,-1589,13164298,12905119,26069416,1.08,Authoritarian,31.9,Chairman of the Workers Party of Korea
Dem. Rep. Congo,58066000000,2.88585,10.7041,4.987,20.7682,6.7,42.049,9.7,22.9016,59,-64643,49892177,49118035,99010212,1.49,Authoritarian,11.7,President
Denmark,3.95E+11,7.69657,35.4556,4.172,100,10.7,10.8,9.8,98.8659,81,22746,2966194,2936844,5903037,9.22,Full democracy,37.2,Prime Minister
Djibouti,3515110000,5.17981,,27.929,65.4413,9.6,22.205,9.147,68.8632,62,742,564584,556264,1120849,2.87,Authoritarian,20,President
Dominica,612048000,-0.727116,,,100,,13.326,8.986,80.933,73,57,36577,36161,72737,0,Unknown,28.1,Prime Minister
Dominican Republic,1.14E+11,8.81109,14.3774,7.121,98.1,4.9,18.432,6.678,85.243,73,-14966,5594560,5634261,11228821,6.54,Flawed democracy,23.4,President
Ecuador,1.15E+11,3.46617,12.8574,3.955,100,7.6,16.817,6.719,76.2029,74,35894,9016398,8984602,18001000,6.27,Flawed democracy,23.9,President
Egypt,4.77E+11,13.8957,12.5192,6.959,100,3,22.558,6.327,72.06,70,-32370,54865512,56124592,110990103,3.36,Authoritarian,20.1,President
El Salvador,32488700000,7.19862,19.4168,3.822,97.89,6.1,16.025,8.661,62.8803,71,-27343,3319856,3016535,6336392,5.96,Hybrid regime,22.8,President
Equatorial Guinea,11813900000,4.78672,5.37157,8.689,66.787,7.9,30.498,9.042,53.9224,61,6486,790982,883926,1674908,1.92,Authoritarian,16.8,President
Eritrea,2065000000,,,6.618,52.514,10.9,28.624,6.729,21.7304,67,-14988,1866154,1817878,3684032,2.37,Authoritarian,14.5,President
Estonia,38100800000,19.3983,21.4247,5.851,100,14.9,10,14,91.04,77,2995,706316,638452,1344768,7.97,Flawed democracy,37.7,Prime Minister
Eswatini,4854170000,2.59802,,24.389,82.9032,29.4,24.134,11.356,58.9129,57,-4897,605504,596167,1201670,3.03,Authoritarian,17.7,King
Ethiopia,1.27E+11,26.8395,6.1963,4.018,54.1884,5.4,32.383,6.776,16.6981,65,-1391,61399749,61980175,123379924,3.35,Authoritarian,14.7,Prime Minister
Fiji,4943250000,4.52019,15.9067,4.334,92.1,9,19.345,8.859,87.66,67,-6003,463626,466140,929766,5.85,Hybrid regime,23,Prime Minister
Finland,2.81E+11,7.12351,20.6553,6.801,100,15.3,9,10.4,92.8081,82,14928,2811103,2745778,5556880,9.14,Full democracy,38.6,Prime Minister
France,2.78E+12,5.22237,23.9683,7.445,100,13.8,10.9,9.7,86.0955,82,20614,35105568,32830093,67935660,7.8,Flawed democracy,37.9,President
Gabon,21071700000,4.23125,11.4795,21.469,91.8064,8.4,27.142,7.258,71.7494,66,1516,1173488,1215505,2388992,3.61,Authoritarian,17.7,President
Georgia,24605400000,11.8982,21.7308,11.311,100,9.2,13.412,15.166,76.4427,72,-2734,1967488,1745015,3712502,5.5,Hybrid regime,32.5,Prime Minister
Germany,4.07E+12,6.87257,11.2253,2.989,100,12.3,9.6,12.3,91.4306,81,312735,42593197,41486614,84079811,8.68,Full democracy,40.9,Federal Chancellor
Ghana,72838800000,31.2559,11.3404,3.867,86.3,6.6,27.548,7.627,68.2,64,-11253,16780756,16695114,33475870,6.63,Flawed democracy,16.6,President
Greece,2.19E+11,9.64526,25.3409,12.162,100,5.1,8,13.5,78.4943,80,-14806,5395279,5171252,10566531,7.29,Flawed democracy,41.1,Prime Minister
Grenada,1256410000,1.21951,,,93.7403,0.7,15.961,8.151,77.7672,75,-85,62717,62721,125438,0,Unknown,27.1,Prime Minister
Guatemala,95003300000,6.88513,11.613,2.569,97.8657,5.9,21.12,6.504,50.8416,69,-29118,8767508,8590378,17357886,5.6,Hybrid regime,18.5,President
Guinea,21227700000,10.493,10.8418,5.749,46.8139,7,34.425,9.99,34.6801,59,-4367,7005320,6854020,13859341,3.14,Authoritarian,13.9,President
Guinea-Bissau,1633560000,9.39384,9.46207,3.583,35.7638,7,31.087,8.716,35.155,60,-1395,1065706,1039860,2105566,1.98,Authoritarian,14.5,President
Guyana,15357500000,5.03286,,12.358,92.8982,40.3,20.298,9.987,84.7936,66,-4316,412743,395982,808726,6.67,Flawed democracy,21.8,President
Haiti,20253600000,33.9839,,14.836,47.1803,9.6,23.498,8.676,38.945,63,-32977,5846285,5738710,11584996,4.91,Hybrid regime,19.3,President
Honduras,31717700000,9.08964,14.7654,7.099,94.1316,2.1,21.071,5.608,48.0835,70,-5779,5165506,5267354,10432860,5.63,Hybrid regime,19.8,President
Hungary,1.79E+11,14.6081,21.4633,3.423,100,16.6,9.7,16.1,88.6408,74,19870,5034412,4649092,9683505,6.63,Flawed democracy,38.1,Prime Minister
Iceland,27841600000,8.30875,21.6184,3.809,100,11.9,13.1,6.3,99.687,83,622,186151,195748,381900,9.58,Full democracy,32.1,Prime Minister
India,3.39E+12,6.69903,12.0174,7.33,99.5725,12.7,16.419,9.448,46.31,67,-301970,685992675,731180498,1417173173,7.23,Flawed democracy,23.9,Prime Minister
Indonesia,1.32E+12,4.20946,9.09404,3.554,99.21,2.4,16.425,10.065,62.1,68,-14992,136798063,138703277,275501339,6.39,Flawed democracy,25.6,President
Iran,3.89E+11,43.389,7.35848,10.964,100,5.2,13.699,6.437,78.6,74,28080,43835978,44714592,88550570,2.45,Authoritarian,28.4,Supreme Leader
Iraq,2.64E+11,4.99477,1.34459,15.547,100,3.6,27.367,4.753,48.9172,70,-60097,22205751,22290370,44496122,4.06,Hybrid regime,16,Prime Minister
Ireland,5.29E+11,7.80738,17.4769,4.362,100,9.6,11.6,6.6,95.1696,82,15320,2565839,2521149,5086988,9.15,Full democracy,33.9,Taoiseach
Israel,5.22E+11,4.3936,24.6154,3.476,100,5.3,19.7,5.4,90.3,82,16856,4786984,4763616,9550600,7.79,Flawed democracy,25.1,Prime Minister
Italy,2.01E+12,8.20129,25.4105,8.094,100,6.7,6.8,12,74.8623,83,28021,30156052,28700795,58856847,7.71,Flawed democracy,43.2,Prime Minister
Jamaica,17097800000,10.3496,25.7095,6.049,100,2.4,11.712,8.797,82.36,70,-5664,1424998,1402379,2827377,7.02,Flawed democracy,27.3,Prime Minister
Japan,4.23E+12,2.4977,11.5908,2.641,100,15.3,6.6,11.7,82.9141,84,87584,64314912,60810077,125124989,7.99,Flawed democracy,44.7,Prime Minister
Jordan,47451500000,4.22916,16.0253,17.874,99.9,1.6,21.95,3.868,82.7556,74,14374,5438953,5846915,11285869,3.93,Authoritarian,19.7,King
Kazakhstan,2.21E+11,8.04232,9.44711,5.008,100,17.6,23.5,9.61,90.92,70,-18917,10179087,9442885,19621972,2.94,Authoritarian,25.5,President
Kenya,1.13E+11,7.65687,13.2649,5.502,76.5424,6.1,27.685,8.056,28.7575,61,-52549,27249938,26777549,54027487,5.11,Hybrid regime,15.4,President
Kiribati,223353000,-1.81308,27.3756,,92.8336,28.3,27.207,6.236,53.627,67,-296,67289,63943,131232,0,Unknown,18,President
Korea,1.67E+12,5.08789,16.8037,2.788,100,28.6,5.1,6.2,97.5713,84,43440,25854364,25773753,51628117,8,Flawed democracy,39.9,President
Kuwait,1.85E+11,3.42363,1.49244,2.482,100,2.9,10.41,2.906,99.7,79,-36843,1672926,2595948,4268873,3.85,Authoritarian,35.1,Emir
Kyrgyz Republic,10930600000,13.9229,17.4506,4.567,99.6737,7.4,22.4,5.8,77.9204,72,-16510,3462998,3340302,6803300,5.11,Hybrid regime,19.8,Prime Minister
Lao PDR,15724400000,22.9562,,2.633,100,5.4,21.973,6.613,62,68,-10303,3734796,3794678,7529475,2.37,Authoritarian,20.1,General Secretary of the Communist Party
Latvia,41153900000,17.3103,21.7669,6.429,100,20.1,9.2,18.4,91.1796,73,-6815,1009778,873600,1883379,7.38,Flawed democracy,39.8,Prime Minister
Lebanon,23131900000,154.756,5.6848,12.635,100,2.8,14.948,8.271,86.589,75,-115122,2827383,2662356,5489739,4.63,Hybrid regime,24.6,Prime Minister
Lesotho,2553460000,8.2718,32.3901,18.039,50.3775,72.4,26.107,14.186,47.983,53,-1490,1168329,1137496,2305825,6.64,Flawed democracy,18.2,Prime Minister
Liberia,4001050000,23.5635,12.4614,3.634,29.8482,4.5,31.287,8.838,33.6332,61,-11862,2661979,2640702,5302681,5.35,Hybrid regime,14.2,President
Libya,45752300000,2.60582,,20.68,70.2105,4.5,17.828,6.018,17.76,72,-696,3365279,3447062,6812341,2.19,Authoritarian,22.6,Prime Minister
Liechtenstein,7186430000,,,,100,,9.6,6.9,95.5694,84,231,19825,19502,39327,0,Unknown,39.9,Regent
Lithuania,70334300000,19.705,21.3937,5.569,100,26.1,8.3,17,86.9306,74,-11853,1502383,1330617,2833000,7.5,Flawed democracy,39.8,President
Luxembourg,82274800000,6.33601,26.1381,4.698,100,11.3,10.5,7,98.66,83,6949,323237,327537,650774,8.81,Full democracy,35,Prime Minister
Madagascar,14955000000,8.16059,10.2385,2.142,35.1209,5.5,30.949,7.104,19.7302,64,-742,14775496,14836218,29611714,5.22,Hybrid regime,15.1,President
Malawi,13164700000,20.954,11.3816,5.614,14.1884,5.4,32.859,6.983,24.4056,63,-1775,10480456,9924861,20405317,5.49,Hybrid regime,13.1,President
Malaysia,4.06E+11,3.3787,11.2402,3.73,100,5.7,15.24,6.034,96.7514,75,46165,16596389,17341833,33938221,6.88,Flawed democracy,26.3,Prime Minister
Maldives,6189870000,2.33314,9.10067,4.883,100,2.7,14.088,3.02,85.7606,80,1189,222471,301315,523787,0,Unknown,27.2,President
Mali,18827200000,3.9256,14.1645,2.762,53.3802,4.1,41.643,9.274,34.49,59,-22236,11186771,11406819,22593590,5.41,Hybrid regime,11.3,President
Malta,17765300000,6.15376,24.2326,2.813,100,6.1,8.5,8,87.4698,83,10408,250560,272857,523417,8.21,Full democracy,35.3,Prime Minister
Marshall Islands,279668000,,17.161,,99.7536,,19.28,7.556,38.7012,65,-1901,20346,21223,41569,0,Unknown,21.6,President
Mauritania,10375500000,9.52527,,11.109,47.6958,3.1,33.194,7.44,58.7582,64,-1494,2414911,2321228,4736139,3.82,Authoritarian,13.8,President
Mauritius,12898300000,10.7738,18.277,7.234,99.6,9.5,10.3,10.5,67.58,74,-478,639989,622533,1262523,8.22,Full democracy,33.1,Prime Minister
Mexico,1.41E+12,7.89628,13.872,3.308,100,5.3,14.857,9.406,75.6265,70,-52649,65309171,62194954,127504125,6.19,Flawed democracy,25.4,President
Micronesia,427094000,5.40874,6.42631,,83.625,28.2,20.777,6.211,40.4096,71,-635,56777,57387,114164,0,Unknown,19.7,President
Moldova,14420900000,28.7373,18.3881,2.278,100,14.7,12.432,16.36,61.2878,69,-14278,1358183,1234294,2592477,5.85,Hybrid regime,31.2,Prime Minister
Monaco,8596160000,,,,100,,5.9,6.6,86.0955,,206,18596,17872,36469,0,Unknown,50.5,Sovereign Prince
Mongolia,16810900000,15.148,16.9088,8.247,100,17.9,21.413,6.131,84.33,71,0,1712979,1685387,3398366,6.5,Flawed democracy,22.9,President
Montenegro,6095980000,13.0403,,15.402,99.7984,21,11.4,14.8,82.2197,74,-101,316129,300030,616159,5.74,Hybrid regime,34.4,Prime Minister
Morocco,1.34E+11,6.65704,19.549,10.494,100,7.2,17.545,6.17,88.1303,74,-46242,18605603,18852368,37457971,4.99,Hybrid regime,25,King
Mozambique,17851500000,10.2794,23.312,3.906,31.494,13.6,36.598,8.793,17.3728,59,-9515,16793302,16176217,32969518,3.85,Authoritarian,13,President
Myanmar,59364400000,8.82507,6.43927,1.48,72.4668,2.9,17.103,9.769,44.0217,66,-35382,27216740,26962566,54179306,3.83,Authoritarian,25.3,President
Namibia,12607400000,6.08128,27.9652,20.846,55.2253,9.7,27.439,10.709,52.9735,59,-4301,1328449,1238563,2567012,6.25,Flawed democracy,17.4,President
Nauru,150922000,-0.124751,44.3468,,100,,27.56,6.633,83.9352,64,-66,6233,6435,12668,0,Unknown,16.3,President
Nepal,40828200000,4.08791,17.4853,11.119,89.9,9,20.402,7.776,51.6314,68,296541,15901334,14646246,30547580,5.18,Hybrid regime,20,Prime Minister
Netherlands,9.91E+11,10.0012,24.7812,3.538,100,11.8,10.2,9.8,92.053,81,57439,8904226,8798863,17703090,8.89,Full democracy,37.9,Prime Minister
New Zealand,2.47E+11,7.17222,28.8432,3.253,100,11,11.48,6.83,95.9102,82,38220,2584111,2539990,5124100,9.26,Full democracy,32.8,Prime Minister
Nicaragua,15671600000,10.4674,18.9048,5.565,86.2915,4.4,20.507,4.859,57.1469,74,-10384,3524605,3423787,6948392,3.63,Authoritarian,20.9,President
Niger,13969600000,4.22622,11.7645,0.534,18.6,5.3,45.293,8.141,22.3861,62,-4405,12914594,13293383,26207977,3.76,Authoritarian,10.5,President
Nigeria,4.77E+11,18.8472,,5.761,59.5,3.5,37.117,13.083,55.3637,53,-76364,108093075,110448136,218541212,4.44,Hybrid regime,13.2,President
North Macedonia,13563100000,14.2047,17.611,15.081,100,9.4,10.2,15.5,83.0182,75,-486,1032057,1025621,2057679,5.87,Hybrid regime,34.5,President
Norway,5.79E+11,5.76412,25.7469,3.171,100,11.8,10.4,7.8,99,83,10604,2703524,2753603,5457127,9.87,Full democracy,35.6,Prime Minister
Oman,1.15E+11,2.81184,,2.327,100,4.9,18.419,3.796,96.3801,73,-20664,1790804,2785494,4576298,3.04,Authoritarian,24.9,Sultan and Prime Minister
Pakistan,3.77E+11,19.8739,9.09687,6.416,94.9229,8.9,27.519,7.168,21.0372,66,-471395,116863982,118960880,235824862,4.17,Hybrid regime,16.5,Prime Minister
Palau,217800000,12.3527,18.5899,,100,,13.4,10.2,26.9703,69,3,8679,9376,18055,0,Unknown,31.7,President
Panama,76522500000,2.85748,8.04618,8.789,95.2511,2.9,17.692,6.067,67.5097,76,5473,2204170,2204410,4408581,7.05,Flawed democracy,25.1,President
Papua New Guinea,30633400000,4.48359,11.8792,2.753,20.9166,3,25.514,6.683,32.0542,65,10695,4910305,5232314,10142619,6.03,Flawed democracy,18,Prime Minister
Paraguay,41722300000,9.76557,9.79425,6.886,100,6,20.627,7.638,77.0184,70,-8230,3378612,3402132,6780744,6.24,Flawed democracy,21.9,President
Peru,2.43E+11,8.33371,16.1102,3.661,95.6,2.8,17.622,7.988,71.1078,72,68012,17192503,16857086,34049588,6.6,Flawed democracy,24.4,President
Philippines,4.04E+11,5.82116,14.13,2.238,97.49,2.2,21.813,7.311,52.6757,69,-80125,56879731,58679278,115559009,6.71,Flawed democracy,20.8,President
Poland,6.88E+11,14.4295,19.2053,2.602,100,11.3,8.8,13.8,85.3749,76,-2968,19377247,18184352,37561599,6.67,Flawed democracy,36.3,Prime Minister
Portugal,2.52E+11,7.83269,22.1405,5.781,100,11.5,7.7,12.1,82.309,81,27295,5481814,4897193,10379007,7.84,Flawed democracy,41.4,Prime Minister
Qatar,2.37E+11,4.99528,,0.095,100,5.8,9.816,1.311,100,79,-30801,740889,1954233,2695122,3.19,Authoritarian,29.6,Emir
Romania,3.01E+11,13.7955,14.9851,5.436,100,9.7,9.3,17.5,83.5904,73,-12724,9787040,9169625,18956666,6.38,Flawed democracy,37.4,President
Russia,2.24E+12,6.69446,11.6476,4.72,100,25.1,9.6,16.7,88.2138,69,320617,76884903,66670833,143555736,2.94,Authoritarian,35,President
Rwanda,13312800000,17.6892,15.0766,13.009,48.7004,5.6,29.976,6.28,30.4618,66,-6112,7035658,6741039,13776698,3.35,Authoritarian,15.2,President
Samoa,832422000,10.9619,25.0245,10.313,98.3,12.6,27.254,5.343,78.2457,73,-882,109007,113375,222382,0,Unknown,16.7,Prime Minister
San Marino,1855380000,1.04598,17.296,,100,,6.2,9.1,74.8623,,41,17281,16380,33660,0,Unknown,42.7,Captain Regent
São Tomé and Principe,546680000,18.0056,,15.318,78.4511,1.5,28.263,6.387,51.2041,68,-792,113972,113407,227380,0,Unknown,14.6,President
Saudi Arabia,1.11E+12,2.47407,8.23747,5.635,100,6,17.473,2.864,100,77,-153883,15429586,20979233,36408820,1.93,Authoritarian,26.2,King
Senegal,27684400000,9.69682,17.5194,3.434,67.9753,6,32.573,5.922,58.0548,67,-10091,8800406,8516043,17316449,6.15,Flawed democracy,14,President
Serbia,63501800000,11.9815,20.6203,9.473,100,11.4,9.1,20,81.1659,73,243,3519916,3240171,6760087,6.41,Flawed democracy,39,Prime Minister
Seychelles,1588410000,8.27686,32.4802,,100,8.1,16.8,9.3,81.5931,73,146,47382,52679,100060,0,Unknown,28.8,President
Sierra Leone,3970340000,27.2083,,3.635,27.494,6.7,31.36,9.113,18,60,-1544,4293526,4312192,8605718,4.66,Hybrid regime,15.1,President
Singapore,4.67E+11,6.12106,13.1247,2.758,100,11.2,8.6,5.8,91.0994,83,19321,2689047,2947974,5637022,6.38,Flawed democracy,38.3,Prime Minister
Slovak Republic,1.15E+11,12.7741,19.2891,6.094,100,12.1,10.4,13.5,88.9256,75,1746,2777654,2654098,5431752,7.1,Flawed democracy,36,
Slovenia,62117800000,8.8337,18.2955,4.18,100,19.8,9,11,89.004,81,4568,1048703,1060028,2108732,7.5,Flawed democracy,39.5,Prime Minister
Solomon Islands,1595710000,5.51813,20.6681,1.543,76.3475,14.7,29.785,5.028,36.132,70,-808,354373,369899,724273,0,Unknown,15.4,Prime Minister
Somalia,8126110000,,7.87E-05,20.047,49.324,7.9,43.561,11.596,2.00405,55,-17071,8775069,8822442,17597511,0,Unknown,11.3,Prime Minister
South Africa,4.06E+11,7.03973,25.9158,29.806,89.3,23.5,19.821,11.432,72.3105,62,10934,30725879,29168006,59893885,7.24,Flawed democracy,23.3,President
South Sudan,11997800000,-6.68732,,12.975,7.74776,3.9,29.107,11.05,6.5,55,-31885,5508626,5404538,10913164,0,Unknown,12.5,President
Spain,1.40E+12,8.39058,15.225,13.009,100,7.7,7.1,9.5,93.9,83,275022,24278328,23336706,47615034,8.08,Full democracy,40.3,President
Sri Lanka,74403600000,49.7211,7.37503,6.705,100,14,14.019,7.36,66.6815,76,-92400,11498234,10682766,22181000,6.19,Flawed democracy,28.8,President
St. Kitts and Nevis,961563000,2.66739,15.0322,,100,,12.125,10.181,79.4731,72,-90,24646,23011,47657,0,Unknown,30.4,
St. Lucia,2065030000,6.37815,18.2415,17.362,100,7.9,11.49,10.299,78.0956,71,0,90909,88948,179857,0,Unknown,29.5,
St. Vincent and the Grenadines,948559000,5.6601,23.7996,18.975,100,1,12.901,13.425,84.9128,70,-379,51020,52928,103948,0,Unknown,29.1,
Sudan,51662200000,138.808,7.39027,18.73,61.7677,3.8,33.596,6.799,28.4,65,-15223,23454198,23420005,46874204,2.15,Authoritarian,14.5,Leader of the Sovereignty Council
Suriname,3620660000,52.446,,8.639,98.8233,25.4,18.154,8.667,65.9398,70,-492,310416,307625,618040,6.98,Flawed democracy,24.1,President
Sweden,5.86E+11,8.36929,27.3368,7.358,100,14.7,11,8.8,88.3078,83,80097,5201777,5285164,10486941,9.39,Full democracy,35.6,Prime Minister
Switzerland,8.08E+11,2.83503,10.2547,4.202,100,14.5,10.3,8.2,95.57,84,23872,4414771,4354970,8769741,9.03,Full democracy,38.1,President
Syrian Arab Republic,11159300000,36.7023,,9.61,88.8245,2,20.111,5.117,35.78,72,212187,11046621,11078628,22125249,1.43,Authoritarian,17.7,President
Tajikistan,10492100000,6.00458,9.82102,7.828,99.5655,4.3,26.749,4.548,21.96,72,-3564,4944055,5008732,9952787,1.93,Authoritarian,17.7,President
Tanzania,75709300000,4.35027,11.6951,2.762,42.7434,4.3,36.21,6.222,31.6331,66,-4865,33126817,32370931,65497748,5.41,Hybrid regime,13,President
Thailand,4.95E+11,6.07741,14.3241,0.862,100,8.8,8.999,7.922,85.27,79,1133,36890933,34806096,71697030,4.63,Hybrid regime,35.8,Prime Minister
The Bahamas,12897400000,5.60541,13.9812,10.056,100,3.5,11.445,8.986,94.2938,72,485,214167,195817,409984,0,Unknown,28.9,Prime Minister
The Gambia,2273060000,11.5131,18.2048,4.78,63.6974,4.8,33.257,7.543,32.9623,62,-1960,1359657,1346335,2705992,4.31,Hybrid regime,13.1,President
Timor-Leste,3163320000,0.958813,15.1034,4.864,100,3.7,24.944,7.233,39.4513,68,-1997,657338,683957,1341296,7.19,Flawed democracy,16.7,
