country,Year,Sex,Religion,Value,Gallup2022NonReligious,Gallup2022Atheist,Gallup2017Combined,Pew2010Unaffiliated
BS,2010.0,Male,Baha'i,34.0,,,,3.1
BS,2010.0,Male,Baptist,58356.0,,,,3.1
BS,2010.0,Male,Brethren,2733.0,,,,3.1
BS,2010.0,Male,Church of God,3101.0,,,,3.1
BS,2010.0,Male,Hindu,221.0,,,,3.1
BS,2010.0,Male,Islam ,199.0,,,,3.1
BS,2010.0,Male,Jehovah Witness,1648.0,,,,3.1
BS,2010.0,Male,Jewish,112.0,,,,3.1
BS,2010.0,Male,Lutheran,188.0,,,,3.1
BS,2010.0,Male,Methodist,5897.0,,,,3.1
BS,2010.0,Male,Mormon,132.0,,,,3.1
BS,2010.0,Male,Pentecostal,14372.0,,,,3.1
BS,2010.0,Male,Presbyterian,402.0,,,,3.1
BS,2010.0,Male,Rastafarian,670.0,,,,3.1
BS,2010.0,Male,Roman Catholic,21835.0,,,,3.1
BS,2010.0,Male,Seventh Day Adventist,7432.0,,,,3.1
BS,2010.0,Male,Other Christians,19736.0,,,,3.1
BS,2010.0,Male,Other Non-Christians,135.0,,,,3.1
BS,2010.0,Male,Not Stated,4617.0,,,,3.1
BS,2010.0,Male,,3960.0,,,,3.1
BS,2010.0,Male,Greek Church,235.0,,,,3.1
BS,2010.0,Female,Total,181204.0,,,,3.1
BS,2010.0,Female,Anglican,24912.0,,,,3.1
BS,2010.0,Female,Assembly of God,1249.0,,,,3.1
BS,2010.0,Female,Baha'i,31.0,,,,3.1
BS,2010.0,Female,Baptist,64144.0,,,,3.1
BS,2010.0,Female,Brethren,3048.0,,,,3.1
BS,2010.0,Female,Church of God,3631.0,,,,3.1
BS,2010.0,Female,Hindu,207.0,,,,3.1
BS,2010.0,Female,Islam ,107.0,,,,3.1
BS,2010.0,Female,Jehovah Witness,2114.0,,,,3.1
BS,2010.0,Female,Jewish,79.0,,,,3.1
BS,2010.0,Female,Lutheran,188.0,,,,3.1
BS,2010.0,Female,Methodist,6615.0,,,,3.1
BS,2010.0,Female,Mormon,169.0,,,,3.1
BS,2010.0,Female,Pentecostal,16986.0,,,,3.1
BS,2010.0,Female,Presbyterian,326.0,,,,3.1
BS,2010.0,Female,Rastafarian,120.0,,,,3.1
BS,2010.0,Female,Roman Catholic,20452.0,,,,3.1
BS,2010.0,Female,Seventh Day Adventist,8009.0,,,,3.1
BS,2010.0,Female,Other Christians,21478.0,,,,3.1
BS,2010.0,Female,Other Non-Christians,93.0,,,,3.1
BS,2010.0,Female,Not Stated,4433.0,,,,3.1
BS,2010.0,Female,,2601.0,,,,3.1
BS,2010.0,Female,Greek Church,212.0,,,,3.1
BH,2010.0,Both Sexes,Total,1234571.0,,,,1.9
BH,2010.0,Both Sexes,Muslim,866888.0,,,,1.9
BH,2010.0,Both Sexes,Other Religions,367683.0,,,,1.9
BH,2010.0,Male,Total,768414.0,,,,1.9
BH,2010.0,Male,Muslim,511135.0,,,,1.9
BH,2010.0,Male,Other Religions,257279.0,,,,1.9
BH,2010.0,Female,Total,466157.0,,,,1.9
BH,2010.0,Female,Muslim,355753.0,,,,1.9
BH,2010.0,Female,Other Religions,110404.0,,,,1.9
BZ,2010.0,Both Sexes,Total,322453.0,,,,8.9
BZ,2010.0,Both Sexes,Adventist,820.0,,,,8.9
BZ,2010.0,Both Sexes,Anglican,15065.0,,,,8.9
BZ,2010.0,Both Sexes,Baha'i,216.0,,,,8.9
BZ,2010.0,Both Sexes,Baptist,11620.0,,,,8.9
BZ,2010.0,Both Sexes,Hindu,654.0,,,,8.9
BZ,2010.0,Both Sexes,Jehovah Witness,5386.0,,,,8.9
BZ,2010.0,Both Sexes,Mennonite,12053.0,,,,8.9
BZ,2010.0,Both Sexes,Methodist,9457.0,,,,8.9
BZ,2010.0,Both Sexes,Mormon,1333.0,,,,8.9
BZ,2010.0,Both Sexes,Muslim,622.0,,,,8.9
BZ,2010.0,Both Sexes,Nazarene,9145.0,,,,8.9
BZ,2010.0,Both Sexes,Pentecostal,27121.0,,,,8.9
BZ,2010.0,Both Sexes,Roman Catholic,129456.0,,,,8.9
BZ,2010.0,Both Sexes,Salvation Army,400.0,,,,8.9
BZ,2010.0,Both Sexes,Seventh Day Adventist,17559.0,,,,8.9
BZ,2010.0,Both Sexes,Other Religions,28976.0,,,,8.9
BZ,2010.0,Both Sexes,No Religion,49975.0,,,,8.9
BZ,2010.0,Both Sexes,Not Specified,567.0,,,,8.9
BZ,2010.0,Both Sexes,Not Stated,2028.0,,,,8.9
BZ,2010.0,Male,Total,161227.0,,,,8.9
BZ,2010.0,Male,Adventist,441.0,,,,8.9
BZ,2010.0,Male,Anglican,7420.0,,,,8.9
BZ,2010.0,Male,Baha'i,98.0,,,,8.9
BZ,2010.0,Male,Baptist,5504.0,,,,8.9
BZ,2010.0,Male,Hindu,375.0,,,,8.9
BZ,2010.0,Male,Jehovah Witness,2303.0,,,,8.9
BZ,2010.0,Male,Mennonite,6076.0,,,,8.9
BZ,2010.0,Male,Methodist,4572.0,,,,8.9
BZ,2010.0,Male,Mormon,650.0,,,,8.9
BZ,2010.0,Male,Muslim,423.0,,,,8.9
BZ,2010.0,Male,Nazarene,4293.0,,,,8.9
BZ,2010.0,Male,Pentecostal,12845.0,,,,8.9
BZ,2010.0,Male,Roman Catholic,63281.0,,,,8.9
BZ,2010.0,Male,Salvation Army,186.0,,,,8.9
BZ,2010.0,Male,Seventh Day Adventist,8293.0,,,,8.9
BZ,2010.0,Male,Other Religions,13840.0,,,,8.9
BZ,2010.0,Male,No Religion,29102.0,,,,8.9
BZ,2010.0,Male,Not Specified,429.0,,,,8.9
BZ,2010.0,Male,Not Stated,1096.0,,,,8.9
BZ,2010.0,Female,Total,161226.0,,,,8.9
BZ,2010.0,Female,Adventist,379.0,,,,8.9
BZ,2010.0,Female,Anglican,7645.0,,,,8.9
BZ,2010.0,Female,Baha'i,118.0,,,,8.9
BZ,2010.0,Female,Baptist,6116.0,,,,8.9
BZ,2010.0,Female,Hindu,279.0,,,,8.9
BZ,2010.0,Female,Jehovah Witness,3083.0,,,,8.9
BZ,2010.0,Female,Mennonite,5977.0,,,,8.9
BZ,2010.0,Female,Methodist,4885.0,,,,8.9
BZ,2010.0,Female,Mormon,683.0,,,,8.9
BZ,2010.0,Female,Muslim,199.0,,,,8.9
BZ,2010.0,Female,Nazarene,4852.0,,,,8.9
BZ,2010.0,Female,Pentecostal,14276.0,,,,8.9
BZ,2010.0,Female,Roman Catholic,66175.0,,,,8.9
BZ,2010.0,Female,Salvation Army,214.0,,,,8.9
BZ,2010.0,Female,Seventh Day Adventist,9266.0,,,,8.9
BZ,2010.0,Female,Other Religions,15136.0,,,,8.9
BZ,2010.0,Female,No Religion,20873.0,,,,8.9
BZ,2010.0,Female,Not Specified,138.0,,,,8.9
BZ,2010.0,Female,Not Stated,932.0,,,,8.9
BM,2010.0,Both Sexes,Total,64237.0,,,,19.4
BM,2010.0,Both Sexes,African Methodist Episcopal Church,5497.0,,,,19.4
BM,2010.0,Both Sexes,Anglican,10138.0,,,,19.4
BM,2010.0,Both Sexes,Baha'i,124.0,,,,19.4
BM,2010.0,Both Sexes,Baptist,786.0,,,,19.4
BM,2010.0,Both Sexes,Brethren,652.0,,,,19.4
BM,2010.0,Both Sexes,Church of God,1001.0,,,,19.4
BM,2010.0,Both Sexes,Jehovah Witness,850.0,,,,19.4
BM,2010.0,Both Sexes,Jewish,135.0,,,,19.4
BM,2010.0,Both Sexes,Lutheran,251.0,,,,19.4
BM,2010.0,Both Sexes,Methodist,1747.0,,,,19.4
BM,2010.0,Both Sexes,Muslim,616.0,,,,19.4
BM,2010.0,Both Sexes,Non-denominational,5309.0,,,,19.4
BM,2010.0,Both Sexes,Pentecostal,2246.0,,,,19.4
BM,2010.0,Both Sexes,Presbyterian,1300.0,,,,19.4
BM,2010.0,Both Sexes,Rastafarian,212.0,,,,19.4
BM,2010.0,Both Sexes,Roman Catholic,9340.0,,,,19.4
BM,2010.0,Both Sexes,Salvation Army,708.0,,,,19.4
BM,2010.0,Both Sexes,Seventh Day Adventist,4273.0,,,,19.4
BM,2010.0,Both Sexes,Other,1527.0,,,,19.4
BM,2010.0,Both Sexes,Other Religions,4399.0,,,,19.4
BM,2010.0,Both Sexes,Ethiopian Orthodox,253.0,,,,19.4
BM,2010.0,Both Sexes,Not Stated,1407.0,,,,19.4
BM,2010.0,Both Sexes,,11466.0,,,,19.4
BM,2010.0,Male,Total,30858.0,,,,19.4
BM,2010.0,Male,African Methodist Episcopal Church,2406.0,,,,19.4
BM,2010.0,Male,Anglican,4513.0,,,,19.4
BM,2010.0,Male,Baha'i,46.0,,,,19.4
BM,2010.0,Male,Baptist,352.0,,,,19.4
BM,2010.0,Male,Brethren,290.0,,,,19.4
BM,2010.0,Male,Church of God,446.0,,,,19.4
BM,2010.0,Male,Jehovah Witness,333.0,,,,19.4
BM,2010.0,Male,Jewish,69.0,,,,19.4
BM,2010.0,Male,Lutheran,105.0,,,,19.4
BM,2010.0,Male,Methodist,746.0,,,,19.4
BM,2010.0,Male,Muslim,356.0,,,,19.4
BM,2010.0,Male,Non-denominational,2368.0,,,,19.4
BM,2010.0,Male,Pentecostal,924.0,,,,19.4
BM,2010.0,Male,Presbyterian,588.0,,,,19.4
BM,2010.0,Male,Rastafarian,163.0,,,,19.4
BM,2010.0,Male,Roman Catholic,4637.0,,,,19.4
BM,2010.0,Male,Salvation Army,311.0,,,,19.4
BM,2010.0,Male,Seventh Day Adventist,1937.0,,,,19.4
BM,2010.0,Male,Other,825.0,,,,19.4
BM,2010.0,Male,Other Religions,2070.0,,,,19.4
BM,2010.0,Male,Ethiopian Orthodox,135.0,,,,19.4
BM,2010.0,Male,Not Stated,778.0,,,,19.4
BM,2010.0,Male,,6460.0,,,,19.4
BM,2010.0,Female,Total,33379.0,,,,19.4
BM,2010.0,Female,African Methodist Episcopal Church,3091.0,,,,19.4
BM,2010.0,Female,Anglican,5625.0,,,,19.4
BM,2010.0,Female,Baha'i,78.0,,,,19.4
BM,2010.0,Female,Baptist,434.0,,,,19.4
BM,2010.0,Female,Brethren,362.0,,,,19.4
BM,2010.0,Female,Church of God,555.0,,,,19.4
BM,2010.0,Female,Jehovah Witness,517.0,,,,19.4
BM,2010.0,Female,Jewish,66.0,,,,19.4
BM,2010.0,Female,Lutheran,146.0,,,,19.4
BM,2010.0,Female,Methodist,1001.0,,,,19.4
BM,2010.0,Female,Muslim,260.0,,,,19.4
BM,2010.0,Female,Non-denominational,2941.0,,,,19.4
BM,2010.0,Female,Pentecostal,1322.0,,,,19.4
BM,2010.0,Female,Presbyterian,712.0,,,,19.4
BM,2010.0,Female,Rastafarian,49.0,,,,19.4
BM,2010.0,Female,Roman Catholic,4703.0,,,,19.4
BM,2010.0,Female,Salvation Army,397.0,,,,19.4
BM,2010.0,Female,Seventh Day Adventist,2336.0,,,,19.4
BM,2010.0,Female,Other,702.0,,,,19.4
BM,2010.0,Female,Other Religions,2329.0,,,,19.4
BM,2010.0,Female,Ethiopian Orthodox,118.0,,,,19.4
BM,2010.0,Female,Not Stated,629.0,,,,19.4
BM,2010.0,Female,,5006.0,,,,19.4
BR,2010.0,Both Sexes,Total,190755799.0,,,17.0,7.9
BR,2010.0,Both Sexes,Adventist,1561071.0,,,17.0,7.9
BR,2010.0,Both Sexes,Assembly of God,12314410.0,,,17.0,7.9
BR,2010.0,Both Sexes,Baptist,3723853.0,,,17.0,7.9
BR,2010.0,Both Sexes,Buddhist,243966.0,,,17.0,7.9
BR,2010.0,Both Sexes,Jehovah Witness,1393208.0,,,17.0,7.9
BR,2010.0,Both Sexes,Jewish,107329.0,,,17.0,7.9
BR,2010.0,Both Sexes,Lutheran,999498.0,,,17.0,7.9
BR,2010.0,Both Sexes,Methodist,340938.0,,,17.0,7.9
BR,2010.0,Both Sexes,Presbyterian,921209.0,,,17.0,7.9
BR,2010.0,Both Sexes,Spiritualist,61739.0,,,17.0,7.9
BR,2010.0,Both Sexes,Other Religions,1953260.0,,,17.0,7.9
BR,2010.0,Both Sexes,No Religion,15335510.0,,,17.0,7.9
BR,2010.0,Both Sexes,Not Specified,643598.0,,,17.0,7.9
BR,2010.0,Both Sexes,Not Declared,241941.0,,,17.0,7.9
BR,2010.0,Both Sexes,Brasilian Apostolic Catholic,560781.0,,,17.0,7.9
BR,2010.0,Both Sexes,Candomble,167363.0,,,17.0,7.9
BR,2010.0,Both Sexes,Christian Congregation of Brazil,2289634.0,,,17.0,7.9
BR,2010.0,Both Sexes,Espiritia,3848876.0,,,17.0,7.9
BR,2010.0,Both Sexes,God is Love,845383.0,,,17.0,7.9
BR,2010.0,Both Sexes,Orthodox Catholic,131571.0,,,17.0,7.9
BR,2010.0,Both Sexes,Other Evangelical Pentecostal,8047813.0,,,17.0,7.9
BR,2010.0,Both Sexes,Other Traditional Evangelical,9358386.0,,,17.0,7.9
BR,2010.0,Both Sexes,Roman Apostolic Catholic,123280172.0,,,17.0,7.9
BR,2010.0,Both Sexes,Umbanda,407331.0,,,17.0,7.9
BR,2010.0,Both Sexes,Universal of the Kingdom of God,1873243.0,,,17.0,7.9
BR,2010.0,Both Sexes,Messianica,103716.0,,,17.0,7.9
BR,2010.0,Male,Total,93406990.0,,,17.0,7.9
BR,2010.0,Male,Adventist,704376.0,,,17.0,7.9
BR,2010.0,Male,Assembly of God,5586520.0,,,17.0,7.9
BR,2010.0,Male,Baptist,1605823.0,,,17.0,7.9
BR,2010.0,Male,Buddhist,110403.0,,,17.0,7.9
BR,2010.0,Male,Jehovah Witness,579466.0,,,17.0,7.9
BR,2010.0,Male,Jewish,53885.0,,,17.0,7.9
BR,2010.0,Male,Lutheran,482382.0,,,17.0,7.9
BR,2010.0,Male,Methodist,149047.0,,,17.0,7.9
BR,2010.0,Male,Presbyterian,405424.0,,,17.0,7.9
BR,2010.0,Male,Spiritualist,24857.0,,,17.0,7.9
BR,2010.0,Male,Other Religions,910196.0,,,17.0,7.9
BR,2010.0,Male,No Religion,9082507.0,,,17.0,7.9
BR,2010.0,Male,Not Specified,302807.0,,,17.0,7.9
BR,2010.0,Male,Not Declared,145452.0,,,17.0,7.9
BR,2010.0,Male,Brasilian Apostolic Catholic,282011.0,,,17.0,7.9
BR,2010.0,Male,Candomble,80733.0,,,17.0,7.9
BR,2010.0,Male,Christian Congregation of Brazil,1060218.0,,,17.0,7.9
BR,2010.0,Male,Espiritia,1581701.0,,,17.0,7.9
BR,2010.0,Male,God is Love,365250.0,,,17.0,7.9
BR,2010.0,Male,Orthodox Catholic,65727.0,,,17.0,7.9
BR,2010.0,Male,Other Evangelical Pentecostal,3505004.0,,,17.0,7.9
BR,2010.0,Male,Other Traditional Evangelical,4162583.0,,,17.0,7.9
BR,2010.0,Male,Roman Apostolic Catholic,61180316.0,,,17.0,7.9
BR,2010.0,Male,Umbanda,182119.0,,,17.0,7.9
BR,2010.0,Male,Universal of the Kingdom of God,756203.0,,,17.0,7.9
BR,2010.0,Male,Messianica,41980.0,,,17.0,7.9
BR,2010.0,Female,Total,97348809.0,,,17.0,7.9
BR,2010.0,Female,Adventist,856695.0,,,17.0,7.9
BR,2010.0,Female,Assembly of God,6727891.0,,,17.0,7.9
BR,2010.0,Female,Baptist,2118029.0,,,17.0,7.9
BR,2010.0,Female,Buddhist,133563.0,,,17.0,7.9
BR,2010.0,Female,Jehovah Witness,813742.0,,,17.0,7.9
BR,2010.0,Female,Jewish,53444.0,,,17.0,7.9
BR,2010.0,Female,Lutheran,517116.0,,,17.0,7.9
BR,2010.0,Female,Methodist,191891.0,,,17.0,7.9
BR,2010.0,Female,Presbyterian,515785.0,,,17.0,7.9
BR,2010.0,Female,Spiritualist,36882.0,,,17.0,7.9
BR,2010.0,Female,Other Religions,1043064.0,,,17.0,7.9
BR,2010.0,Female,No Religion,6253004.0,,,17.0,7.9
BR,2010.0,Female,Not Specified,340791.0,,,17.0,7.9
BR,2010.0,Female,Not Declared,96485.0,,,17.0,7.9
BR,2010.0,Female,Brasilian Apostolic Catholic,278770.0,,,17.0,7.9
BR,2010.0,Female,Candomble,86630.0,,,17.0,7.9
BR,2010.0,Female,Christian Congregation of Brazil,1229416.0,,,17.0,7.9
BR,2010.0,Female,Espiritia,2267176.0,,,17.0,7.9
BR,2010.0,Female,God is Love,480133.0,,,17.0,7.9
BR,2010.0,Female,Orthodox Catholic,65844.0,,,17.0,7.9
BR,2010.0,Female,Other Evangelical Pentecostal,4542810.0,,,17.0,7.9
BR,2010.0,Female,Other Traditional Evangelical,5195803.0,,,17.0,7.9
BR,2010.0,Female,Roman Apostolic Catholic,62099856.0,,,17.0,7.9
BR,2010.0,Female,Umbanda,225213.0,,,17.0,7.9
BR,2010.0,Female,Universal of the Kingdom of God,1117040.0,,,17.0,7.9
BR,2010.0,Female,Messianica,61736.0,,,17.0,7.9
KY,2010.0,Both Sexes,Total,55036.0,,,,9.4
KY,2010.0,Both Sexes,Anglican,2251.722789,,,,9.4
KY,2010.0,Both Sexes,Baptist,4541.234896,,,,9.4
KY,2010.0,Both Sexes,Church of God,12459.70481,,,,9.4
KY,2010.0,Both Sexes,Jehovah Witness,613.3797966,,,,9.4
KY,2010.0,Both Sexes,Non-denominational,2907.586049,,,,9.4
KY,2010.0,Both Sexes,Pentecostal,3916.072764,,,,9.4
KY,2010.0,Both Sexes,Roman Catholic,7745.359712,,,,9.4
KY,2010.0,Both Sexes,Seventh Day Adventist,5171.455055,,,,9.4
KY,2010.0,Both Sexes,Wesleyan,1335.189337,,,,9.4
KY,2010.0,Both Sexes,Other,3892.200345,,,,9.4
KY,2010.0,Both Sexes,Not Stated,335.4878946,,,,9.4
KY,2010.0,Both Sexes,,5116.343729,,,,9.4
KY,2010.0,Both Sexes,Presbyterian and Reformed,4750.262838,,,,9.4
KY,2010.0,Male,Total,27218.12847,,,,9.4
KY,2010.0,Male,Anglican,1134.655383,,,,9.4
KY,2010.0,Male,Baptist,2146.488991,,,,9.4
KY,2010.0,Male,Church of God,5858.453926,,,,9.4
KY,2010.0,Male,Jehovah Witness,268.2780029,,,,9.4
KY,2010.0,Male,Non-denominational,1470.825575,,,,9.4
KY,2010.0,Male,Pentecostal,1759.622544,,,,9.4
KY,2010.0,Male,Roman Catholic,4035.305903,,,,9.4
KY,2010.0,Male,Seventh Day Adventist,2456.843564,,,,9.4
KY,2010.0,Male,Wesleyan,631.6748331,,,,9.4
KY,2010.0,Male,Other,2046.164673,,,,9.4
KY,2010.0,Male,Not Stated,186.1425824,,,,9.4
KY,2010.0,Male,,3015.932805,,,,9.4
KY,2010.0,Male,Presbyterian and Reformed,2207.739692,,,,9.4
KY,2010.0,Female,Total,27817.87153,,,,9.4
KY,2010.0,Female,Anglican,1117.067406,,,,9.4
KY,2010.0,Female,Baptist,2394.745905,,,,9.4
KY,2010.0,Female,Church of God,6601.250879,,,,9.4
KY,2010.0,Female,Jehovah Witness,345.1017937,,,,9.4
KY,2010.0,Female,Non-denominational,1436.760474,,,,9.4
KY,2010.0,Female,Pentecostal,2156.45022,,,,9.4
KY,2010.0,Female,Roman Catholic,3710.053809,,,,9.4
KY,2010.0,Female,Seventh Day Adventist,2714.611491,,,,9.4
KY,2010.0,Female,Wesleyan,703.5145038,,,,9.4
KY,2010.0,Female,Other,1846.035672,,,,9.4
KY,2010.0,Female,Not Stated,149.3453122,,,,9.4
KY,2010.0,Female,,2100.410924,,,,9.4
KY,2010.0,Female,Presbyterian and Reformed,2542.523146,,,,9.4
FI,2010.0,Both Sexes,Total,5375276.0,,,55.0,17.6
FI,2010.0,Both Sexes,Adventist,3648.0,,,55.0,17.6
FI,2010.0,Both Sexes,Baha'i,568.0,,,55.0,17.6
FI,2010.0,Both Sexes,Baptist,2356.0,,,55.0,17.6
FI,2010.0,Both Sexes,Catholic,10640.0,,,55.0,17.6
FI,2010.0,Both Sexes,Christian,10.0,,,55.0,17.6
FI,2010.0,Both Sexes,Free Church in Finland,14485.0,,,55.0,17.6
FI,2010.0,Both Sexes,Islam ,9393.0,,,55.0,17.6
FI,2010.0,Both Sexes,Jehovah Witness,19094.0,,,55.0,17.6
FI,2010.0,Both Sexes,Jewish,1208.0,,,55.0,17.6
FI,2010.0,Both Sexes,Latter Day Saints,3225.0,,,55.0,17.6
FI,2010.0,Both Sexes,Lutheran,4207192.0,,,55.0,17.6
FI,2010.0,Both Sexes,Methodist,1301.0,,,55.0,17.6
FI,2010.0,Both Sexes,Orthodox,58449.0,,,55.0,17.6
FI,2010.0,Both Sexes,Other Lutheran Churches,7573.0,,,55.0,17.6
FI,2010.0,Both Sexes,Other Orthodox Churches,2402.0,,,55.0,17.6
FI,2010.0,Both Sexes,Other Religions,1303.0,,,55.0,17.6
FI,2010.0,Both Sexes,No Religion,1032429.0,,,55.0,17.6
FI,2010.0,Male,Total,2638416.0,,,55.0,17.6
FI,2010.0,Male,Adventist,1520.0,,,55.0,17.6
FI,2010.0,Male,Baha'i,274.0,,,55.0,17.6
FI,2010.0,Male,Baptist,1106.0,,,55.0,17.6
FI,2010.0,Male,Catholic,5097.0,,,55.0,17.6
FI,2010.0,Male,Christian,7.0,,,55.0,17.6
FI,2010.0,Male,Free Church in Finland,6644.0,,,55.0,17.6
FI,2010.0,Male,Islam ,5132.0,,,55.0,17.6
FI,2010.0,Male,Jehovah Witness,8227.0,,,55.0,17.6
FI,2010.0,Male,Jewish,616.0,,,55.0,17.6
FI,2010.0,Male,Latter Day Saints,1498.0,,,55.0,17.6
FI,2010.0,Male,Lutheran,1986310.0,,,55.0,17.6
FI,2010.0,Male,Methodist,658.0,,,55.0,17.6
FI,2010.0,Male,Orthodox,25924.0,,,55.0,17.6
FI,2010.0,Male,Other Lutheran Churches,3295.0,,,55.0,17.6
FI,2010.0,Male,Other Orthodox Churches,1000.0,,,55.0,17.6
FI,2010.0,Male,Other Religions,554.0,,,55.0,17.6
FI,2010.0,Male,No Religion,590554.0,,,55.0,17.6
FI,2010.0,Female,Total,2736860.0,,,55.0,17.6
FI,2010.0,Female,Adventist,2128.0,,,55.0,17.6
FI,2010.0,Female,Baha'i,294.0,,,55.0,17.6
FI,2010.0,Female,Baptist,1250.0,,,55.0,17.6
FI,2010.0,Female,Catholic,5543.0,,,55.0,17.6
FI,2010.0,Female,Christian,3.0,,,55.0,17.6
FI,2010.0,Female,Free Church in Finland,7841.0,,,55.0,17.6
FI,2010.0,Female,Islam ,4261.0,,,55.0,17.6
FI,2010.0,Female,Jehovah Witness,10867.0,,,55.0,17.6
FI,2010.0,Female,Jewish,592.0,,,55.0,17.6
FI,2010.0,Female,Latter Day Saints,1727.0,,,55.0,17.6
FI,2010.0,Female,Lutheran,2220882.0,,,55.0,17.6
FI,2010.0,Female,Methodist,643.0,,,55.0,17.6
FI,2010.0,Female,Orthodox,32525.0,,,55.0,17.6
FI,2010.0,Female,Other Lutheran Churches,4278.0,,,55.0,17.6
FI,2010.0,Female,Other Orthodox Churches,1402.0,,,55.0,17.6
FI,2010.0,Female,Other Religions,749.0,,,55.0,17.6
FI,2010.0,Female,No Religion,441875.0,,,55.0,17.6
GH,2010.0,Both Sexes,Total,24658823.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Catholic,3230996.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Islam ,4345723.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Pentecostal,6980792.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Protestant,4534178.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Traditional,1270272.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Other Christians,2800871.0,11.0,1.0,1.0,4.2
GH,2010.0,Both Sexes,Other Religions,193914.0,11.0,1.0,1.0,4.2
