country,Indicator Type,Series Name,2021,2022,Note
EG,Inflation,Headline Consumer Price Inflation,5.21,13.89,Annual average inflation
ER,Inflation,Headline Consumer Price Inflation,6.64,7.35,Annual average inflation
ES,Inflation,Headline Consumer Price Inflation,3.09,8.4,Annual average inflation
EE,Inflation,Headline Consumer Price Inflation,4.65,19.4,Annual average inflation
ET,Inflation,Headline Consumer Price Inflation,26.84,33.89,Annual average inflation
FI,Inflation,Headline Consumer Price Inflation,2.19,7.1,Annual average inflation
FJ,Inflation,Headline Consumer Price Inflation,0.16,4.52,Annual average inflation
FR,Inflation,Headline Consumer Price Inflation,1.64,5.2,Annual average inflation
FM,Inflation,Headline Consumer Price Inflation,2.09,5.79,Annual average inflation
GA,Inflation,Headline Consumer Price Inflation,1.08,4.23,Annual average inflation
GB,Inflation,Headline Consumer Price Inflation,2.5,7.9,Annual average inflation
GE,Inflation,Headline Consumer Price Inflation,9.57,11.9,Annual average inflation
GH,Inflation,Headline Consumer Price Inflation,9.97,31.92,Annual average inflation
GN,Inflation,Headline Consumer Price Inflation,12.6,12.72,Annual average inflation
GM,Inflation,Headline Consumer Price Inflation,7.37,11.31,Annual average inflation
GW,Inflation,Headline Consumer Price Inflation,3.27,5.52,Annual average inflation
GQ,Inflation,Headline Consumer Price Inflation,-0.09,5.14,Annual average inflation
GR,Inflation,Headline Consumer Price Inflation,1.22,9.6,Annual average inflation
GD,Inflation,Headline Consumer Price Inflation,1.22,1.22,Annual average inflation
GT,Inflation,Headline Consumer Price Inflation,4.26,6.89,Annual average inflation
GY,Inflation,Headline Consumer Price Inflation,3.32,7.59,Annual average inflation
HK,Inflation,Headline Consumer Price Inflation,1.57,1.88,Annual average inflation
HN,Inflation,Headline Consumer Price Inflation,4.48,9.09,Annual average inflation
HR,Inflation,Headline Consumer Price Inflation,2.55,10.78,Annual average inflation
HT,Inflation,Headline Consumer Price Inflation,15.94,26.82,Annual average inflation
HU,Inflation,Headline Consumer Price Inflation,5.11,14.6,Annual average inflation
ID,Inflation,Headline Consumer Price Inflation,1.56,4.21,Annual average inflation
IN,Inflation,Headline Consumer Price Inflation,4.89,6.69,Annual average inflation
IE,Inflation,Headline Consumer Price Inflation,2.36,7.8,Annual average inflation
IR,Inflation,Headline Consumer Price Inflation,43.39,42.44,Annual average inflation
IQ,Inflation,Headline Consumer Price Inflation,6.04,5.14,Annual average inflation
IS,Inflation,Headline Consumer Price Inflation,4.44,8.3,Annual average inflation
IL,Inflation,Headline Consumer Price Inflation,1.49,4.4,Annual average inflation
IT,Inflation,Headline Consumer Price Inflation,1.87,8.2,Annual average inflation
JM,Inflation,Headline Consumer Price Inflation,5.86,10.35,Annual average inflation
JO,Inflation,Headline Consumer Price Inflation,1.35,4.23,Annual average inflation
JP,Inflation,Headline Consumer Price Inflation,-0.23,2.5,Annual average inflation
KZ,Inflation,Headline Consumer Price Inflation,8,14.99,Annual average inflation
KE,Inflation,Headline Consumer Price Inflation,6.11,7.66,Annual average inflation
KG,Inflation,Headline Consumer Price Inflation,11.91,13.92,Annual average inflation
KH,Inflation,Headline Consumer Price Inflation,2.92,6.07,Annual average inflation
KI,Inflation,Headline Consumer Price Inflation,3,5.6,Annual average inflation
KN,Inflation,Headline Consumer Price Inflation,0.2,3.78,Annual average inflation
KR,Inflation,Headline Consumer Price Inflation,2.5,5.09,Annual average inflation
KW,Inflation,Headline Consumer Price Inflation,3.42,3.98,Annual average inflation
LA,Inflation,Headline Consumer Price Inflation,3.76,22.96,Annual average inflation
LB,Inflation,Headline Consumer Price Inflation,154.76,171.2,Annual average inflation
LR,Inflation,Headline Consumer Price Inflation,7.82,6.91,Annual average inflation
LY,Inflation,Headline Consumer Price Inflation,2.77,5.52,Annual average inflation
LC,Inflation,Headline Consumer Price Inflation,2.38,6.4,Annual average inflation
LK,Inflation,Headline Consumer Price Inflation,7.01,50.43,Annual average inflation
LS,Inflation,Headline Consumer Price Inflation,6.05,8.31,Annual average inflation
LT,Inflation,Headline Consumer Price Inflation,4.68,19.7,Annual average inflation
LU,Inflation,Headline Consumer Price Inflation,2.53,6.3,Annual average inflation
LV,Inflation,Headline Consumer Price Inflation,3.28,17.3,Annual average inflation
MO,Inflation,Headline Consumer Price Inflation,0.03,1.05,Annual average inflation
MA,Inflation,Headline Consumer Price Inflation,1.4,6.66,Annual average inflation
MD,Inflation,Headline Consumer Price Inflation,5.11,28.74,Annual average inflation
MG,Inflation,Headline Consumer Price Inflation,5.82,9.8,Annual average inflation
MV,Inflation,Headline Consumer Price Inflation,0.54,2.18,Annual average inflation
MX,Inflation,Headline Consumer Price Inflation,5.69,7.9,Annual average inflation
MH,Inflation,Headline Consumer Price Inflation,2.61,6.4,Annual average inflation
MK,Inflation,Headline Consumer Price Inflation,3.23,14.2,Annual average inflation
ML,Inflation,Headline Consumer Price Inflation,3.93,9.99,Annual average inflation
MT,Inflation,Headline Consumer Price Inflation,1.5,6.15,Annual average inflation
MM,Inflation,Headline Consumer Price Inflation,5.03,16.75,Annual average inflation
ME,Inflation,Headline Consumer Price Inflation,2.41,13.05,Annual average inflation
MN,Inflation,Headline Consumer Price Inflation,7.1,15.15,Annual average inflation
MZ,Inflation,Headline Consumer Price Inflation,5.69,10.28,Annual average inflation
MR,Inflation,Headline Consumer Price Inflation,3.77,7.1,Annual average inflation
MU,Inflation,Headline Consumer Price Inflation,4.03,10.77,Annual average inflation
MW,Inflation,Headline Consumer Price Inflation,9.34,18.45,Annual average inflation
MY,Inflation,Headline Consumer Price Inflation,2.48,3.38,Annual average inflation
NA,Inflation,Headline Consumer Price Inflation,3.62,6.08,Annual average inflation
NE,Inflation,Headline Consumer Price Inflation,3.84,4.23,Annual average inflation
NG,Inflation,Headline Consumer Price Inflation,16.95,18.85,Annual average inflation
NI,Inflation,Headline Consumer Price Inflation,4.93,10.47,Annual average inflation
NL,Inflation,Headline Consumer Price Inflation,2.68,10,Annual average inflation
NO,Inflation,Headline Consumer Price Inflation,3.48,5.8,Annual average inflation
NP,Inflation,Headline Consumer Price Inflation,3.6,6.26,Annual average inflation
NR,Inflation,Headline Consumer Price Inflation,1.2,2,Annual average inflation
NZ,Inflation,Headline Consumer Price Inflation,3.94,6.28,Annual average inflation
OM,Inflation,Headline Consumer Price Inflation,1.55,2.81,Annual average inflation
PK,Inflation,Headline Consumer Price Inflation,9.5,19.87,Annual average inflation
PA,Inflation,Headline Consumer Price Inflation,1.63,2.86,Annual average inflation
PE,Inflation,Headline Consumer Price Inflation,4.27,7.88,Annual average inflation
PH,Inflation,Headline Consumer Price Inflation,3.93,5.82,Annual average inflation
PW,Inflation,Headline Consumer Price Inflation,0.45,12.2,Annual average inflation
PG,Inflation,Headline Consumer Price Inflation,4.49,6.6,Annual average inflation
PL,Inflation,Headline Consumer Price Inflation,5.1,14.3,Annual average inflation
PR,Inflation,Headline Consumer Price Inflation,2.41,4.39,Annual average inflation
PT,Inflation,Headline Consumer Price Inflation,1.27,7.8,Annual average inflation
PY,Inflation,Headline Consumer Price Inflation,4.79,9.77,Annual average inflation
PS,Inflation,Headline Consumer Price Inflation,1.24,,Annual average inflation
QA,Inflation,Headline Consumer Price Inflation,2.3,5,Annual average inflation
RO,Inflation,Headline Consumer Price Inflation,5.05,13.8,Annual average inflation
RU,Inflation,Headline Consumer Price Inflation,6.69,13.75,Annual average inflation
RW,Inflation,Headline Consumer Price Inflation,-0.39,17.7,Annual average inflation
SA,Inflation,Headline Consumer Price Inflation,3.06,2.5,Annual average inflation
SD,Inflation,Headline Consumer Price Inflation,359.09,138.81,Annual average inflation
SN,Inflation,Headline Consumer Price Inflation,2.18,9.69,Annual average inflation
SG,Inflation,Headline Consumer Price Inflation,2.3,6.02,Annual average inflation
SB,Inflation,Headline Consumer Price Inflation,-0.11,3.74,Annual average inflation
SL,Inflation,Headline Consumer Price Inflation,11.87,25.91,Annual average inflation
SV,Inflation,Headline Consumer Price Inflation,3.47,7.2,Annual average inflation
SM,Inflation,Headline Consumer Price Inflation,0.76,2.08,Annual average inflation
RS,Inflation,Headline Consumer Price Inflation,4.09,11.98,Annual average inflation
SS,Inflation,Headline Consumer Price Inflation,30.23,17.6,Annual average inflation
ST,Inflation,Headline Consumer Price Inflation,8.14,15.05,Annual average inflation
SR,Inflation,Headline Consumer Price Inflation,59.11,54.26,Annual average inflation
SK,Inflation,Headline Consumer Price Inflation,3.15,12.8,Annual average inflation
SI,Inflation,Headline Consumer Price Inflation,1.92,8.8,Annual average inflation
SE,Inflation,Headline Consumer Price Inflation,2.16,8.4,Annual average inflation
SZ,Inflation,Headline Consumer Price Inflation,3.72,4.87,Annual average inflation
SC,Inflation,Headline Consumer Price Inflation,9.77,2.63,Annual average inflation
SY,Inflation,Headline Consumer Price Inflation,,,Annual average inflation
TD,Inflation,Headline Consumer Price Inflation,-0.77,5.11,Annual average inflation
TG,Inflation,Headline Consumer Price Inflation,4.55,7.61,Annual average inflation
TH,Inflation,Headline Consumer Price Inflation,1.23,6.08,Annual average inflation
TJ,Inflation,Headline Consumer Price Inflation,8.92,7.67,Annual average inflation
TM,Inflation,Headline Consumer Price Inflation,14.95,17.5,Annual average inflation
TO,Inflation,Headline Consumer Price Inflation,1.41,8.52,Annual average inflation
TT,Inflation,Headline Consumer Price Inflation,2.06,5.03,Annual average inflation
TN,Inflation,Headline Consumer Price Inflation,5.71,8.31,Annual average inflation
TR,Inflation,Headline Consumer Price Inflation,19.6,72.31,Annual average inflation
TV,Inflation,Headline Consumer Price Inflation,2.94,5.71,Annual average inflation
TZ,Inflation,Headline Consumer Price Inflation,3.69,4.35,Annual average inflation
UG,Inflation,Headline Consumer Price Inflation,2.21,7.2,Annual average inflation
UA,Inflation,Headline Consumer Price Inflation,9.36,20.18,Annual average inflation
UY,Inflation,Headline Consumer Price Inflation,7.75,9.11,Annual average inflation
US,Inflation,Headline Consumer Price Inflation,4.7,8,Annual average inflation
UZ,Inflation,Headline Consumer Price Inflation,10.69,11.32,Annual average inflation
VC,Inflation,Headline Consumer Price Inflation,1.56,5.83,Annual average inflation
VE,Inflation,Headline Consumer Price Inflation,1588.51,220.84,Annual average inflation
VN,Inflation,Headline Consumer Price Inflation,1.83,3.16,Annual average inflation
VU,Inflation,Headline Consumer Price Inflation,2.34,4.58,Annual average inflation
WS,Inflation,Headline Consumer Price Inflation,-3.01,8.75,Annual average inflation
YE,Inflation,Headline Consumer Price Inflation,45.7,43.85,Annual average inflation
ZA,Inflation,Headline Consumer Price Inflation,4.61,7,Annual average inflation
ZM,Inflation,Headline Consumer Price Inflation,22.02,10.99,Annual average inflation
ZW,Inflation,Headline Consumer Price Inflation,98.55,284.94,Annual average inflation
VG,Inflation,Headline Consumer Price Inflation,2.8,,Additional countries from the previous update
XK,Inflation,Headline Consumer Price Inflation,3.36,,Additional countries from the previous update
LI,Inflation,Headline Consumer Price Inflation,0.51,2.83,Additional countries from the previous update
MQ,Inflation,Headline Consumer Price Inflation,,,Additional countries from the previous update
MS,Inflation,Headline Consumer Price Inflation,1.67,,Additional countries from the previous update
NC,Inflation,Headline Consumer Price Inflation,0.62,,Additional countries from the previous update
NU,Inflation,Headline Consumer Price Inflation,,,Additional countries from the previous update
SH,Inflation,Headline Consumer Price Inflation,1.3,,Additional countries from the previous update
TL,Inflation,Headline Consumer Price Inflation,,,Additional countries from the previous update
TC,Inflation,Headline Consumer Price Inflation,,,Additional countries from the previous update
